Word,both_hit,both_fa,both_h_fa,d_both,c_both,img,Bird2001,Bristol2006,Chiarello1999,Glasgow2018,Cortese,MRC,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Max_strength.perceptual,Max_strength.action,Max_strength.sensorimotor,Minkowski3.perceptual,Minkowski3.action,Minkowski3.sensorimotor,c.Bird,c.Bristol,c.Chiarello,c.Cortese,c.Glasgow,c.MRC,Frequency,Length.y,Body,Food,Object,Communication
MASSIVE,0.65,0.23,0.42,1.11,0.17,4.6,NA,4.18,NA,5,4.6,NA,0.889,0.278,2,0.722,0.278,4.5,0.7,1.35,2.7,0.6,0.7,4.5,2.7,4.5,4.645,2.846,4.977,NA,0.171193786,NA,0.09923593,0.141183359,NA,1.042253656,0.406943326,-0.077755577,-0.28396986,0.560847293,-0.542330852
MASTER,0.63,0.17,0.47,1.31,0.31,4.9,NA,NA,NA,3.387,4.9,4.95,1.938,0.25,0.562,1.938,0.125,2.875,1,1.727,3.182,2.364,1.182,2.875,3.182,3.182,3.377,3.762,4.51,NA,NA,NA,0.39923593,-1.471816641,0.152696059,0.944916194,-0.499773431,0.07875777,-0.304015834,-0.370361579,1.140711348
MATRIX,0.8,0.18,0.62,1.74,0.03,4.8,NA,2.74,NA,3.25,4.8,NA,0.467,0,0.667,0.2,0,3.2,0.611,0.778,3.389,0.278,0.556,3.2,3.389,3.389,3.213,3.415,4.179,NA,-1.268806214,NA,0.29923593,-1.608816641,NA,-0.361362185,0.468096428,-0.696213687,-0.94402106,0.447694999,-0.094458626
MATRON,0.77,0.15,0.62,1.76,0.15,3.3,NA,4.95,NA,5.088,3.3,NA,2.25,0,1,0,0,3.583,0.25,0.562,1.188,0.875,0.312,3.583,1.188,3.583,3.88,1.37,3.936,NA,0.941193786,NA,-1.20076407,0.229183359,NA,-1.019311093,-0.213148382,-1.252915684,-0.698213614,0.598661211,-0.281005745
MATTER,0.62,0.35,0.27,0.68,0.04,2.8,2.93,NA,NA,NA,2.8,2.98,1,0.944,2.167,0.5,0.889,3.111,0.85,1.8,2.35,1.15,0.9,3.111,2.35,3.111,3.502,2.788,4.013,-1.452110563,NA,NA,-1.70076407,NA,-1.817303941,1.743829331,-0.382467308,-0.446009471,0.290134106,0.188716625,-0.862410583
MATTRESS,0.8,0.17,0.63,1.81,0.06,6.8,NA,NA,NA,6.629,6.8,6.01,1.067,0,4.333,1.067,0.533,4.133,2.667,2.667,2.81,0.524,3.095,4.333,3.095,4.333,5.367,4.48,6.253,NA,NA,NA,2.29923593,1.770183359,1.212696059,0.447996579,0.531114633,2.915468906,-0.245544123,1.359053791,-0.254349546
MATURE,0.75,0.27,0.48,1.3,-0.03,4.4,4.015,NA,NA,NA,4.4,3.63,2.421,0.474,0.684,1.263,0.421,3.263,0.833,1.222,2.889,1.833,1.222,3.263,2.889,3.263,3.719,3.255,4.413,-0.367110563,NA,NA,-0.10076407,NA,-1.167303941,0.565916945,0.105812832,-0.018816451,-0.061542203,-0.588702856,0.651077229
MAXIM,0.77,0.08,0.68,2.11,0.33,3,NA,NA,NA,NA,3,NA,2.529,0.294,0.588,0.059,0.412,1.824,0.25,0.625,2,0.812,0.312,2.529,2,2.529,2.825,2.067,3.154,NA,NA,NA,-1.50076407,NA,NA,-0.85267348,-0.417192693,-1.425724939,-0.429921932,-0.32344936,-0.029049953
MAYBE,0.63,0.15,0.48,1.38,0.35,2.1,NA,NA,NA,NA,2.1,2.22,2.263,0.421,0.421,1.421,0.316,1,0.421,1,3.421,2.053,0.316,2.263,3.421,3.421,2.501,3.679,4.03,NA,NA,NA,-2.40076407,NA,-2.577303941,2.211859504,-0.276420845,-1.081468223,-0.144727937,-1.640436701,0.64021849
MAYHEM,0.75,0.15,0.6,1.71,0.18,4.8,NA,NA,NA,NA,4.8,NA,3.2,0.05,0.95,1.9,0.5,3.95,0.824,0.882,2.706,1.412,0.824,3.95,2.706,3.95,4.676,2.902,5.022,NA,NA,NA,0.29923593,NA,NA,-0.309113937,0.260446285,-0.170492551,-0.260615745,0.574565236,1.408351334
